ticket_id,text
TK-0001,"I still haven't received the refund you promised me last week and this is getting ridiculous"
TK-0002,"I was charged twice for my order and I need this sorted out immediately"
TK-0003,"my package was supposed to arrive three days ago and there is still no update"
TK-0004,"the item I received is completely different from what I actually ordered"
TK-0005,"I want to cancel the order I placed this morning, I changed my mind"
TK-0006,"your support line hung up on me twice and I am honestly furious"
TK-0007,"the product arrived broken and nobody has responded to my emails"
TK-0008,"how do I download an invoice for my last purchase"
TK-0009,"what payment methods do you support, do you take paypal"
TK-0010,"can I change the shipping address on my order before it ships"
TK-0011,"how long does standard delivery usually take to arrive"
TK-0012,"I would like to update the email address on my account"
TK-0013,"how do I track where my order is right now"
TK-0014,"what is your return policy for items that do not fit"
TK-0015,"how do I unsubscribe from your weekly newsletter"
TK-0016,"I forgot my password and the reset link never arrives"
TK-0017,"is there a cancellation fee if I cancel my plan early"
TK-0018,"can I get a copy of all my invoices for this year for accounting"
TK-0019,"do you ship internationally and how much does it cost"
TK-0020,"just wanted to say thank you, your team was incredibly helpful"
TK-0021,"amazing service, my issue was resolved in minutes, five stars from me"
TK-0022,"really happy with how quickly you handled my request, much appreciated"
TK-0023,"my payment keeps getting declined even though my card works everywhere else"
TK-0024,"I need to add a new delivery address to my profile please"
TK-0025,"please cancel my subscription, I am not using it anymore"
TK-0026,"can you confirm whether my order has shipped yet"
TK-0027,"I would like a refund for the damaged item I sent back"
TK-0028,"I just want to speak to a real person, not a chatbot"
